room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay,latitude,longitude,last_modified
10308703,52989506,Entire home/apt,,1,1,4,,2,99,4,21.383455,-158.14728,18:57.4
711800,3416690,Private room,,1,2,5,1,1,55,1,21.439363,-158.156337,18:53.4
9200924,47857744,Private room,,1,0,,2,1,134,1,21.406573,-158.163383,18:43.2
9957333,51050875,Entire home/apt,,4,0,,4,0,249,1,21.278879,-157.830276,18:35.1
9141192,47435444,Entire home/apt,,2,0,,4,1,180,4,21.701377,-157.993384,18:28.1
2055108,10525494,Entire home/apt,,5,43,5,2,0,119,3,21.293802,-157.806679,18:16.7
11121346,57782544,Entire home/apt,,2,0,,4,1,100,3,21.680334,-158.03375,18:13.0
562172,770461,Entire home/apt,,5,1,5,2,1,150,1,21.305415,-157.823869,18:04.3
9350345,2576932,Entire home/apt,,4,2,5,,2,345,1,21.280098,-157.826718,17:50.4
7676844,40311616,Private room,,9,8,5,2,1,52,1,21.357608,-158.026305,17:35.5
10297414,3077371,Entire home/apt,,1,1,5,,3,389,7,21.335809,-158.118379,17:25.8
5422194,6929255,Entire home/apt,,2,10,4.5,,2,209,30,21.581294,-158.139107,17:23.0
9684158,50009366,Private room,,5,1,5,2,1,45,1,21.286557,-157.822961,17:19.8
10932304,49457265,Entire home/apt,,3,0,,,3,239,4,21.378118,-157.741468,17:16.3
10267501,52578231,Entire home/apt,,4,2,2.5,,2,188,1,21.278319,-157.821471,17:14.3
7809840,30079090,Private room,,3,0,,2,1,135,7,21.416983,-157.744678,17:00.2
8906276,46582887,Private room,,9,0,,2,1,200,1,21.318951,-157.979623,16:58.7
2823802,10074001,Entire home/apt,,2,4,4.5,,3,250,3,21.606385,-157.913115,16:38.3
5629351,29174151,Private room,,2,44,5,2,1,139,2,21.604308,-157.90053,16:35.1
66078,88829,Private room,,5,26,5,2,1,65,4,21.319389,-157.801594,16:32.4
5572724,28893650,Entire home/apt,,4,23,5,4,1,149,1,21.276875,-157.822291,16:23.7
7701219,6152329,Entire home/apt,,4,0,,4,2,320,30,21.272995,-157.818949,16:20.7
9684817,40154535,Private room,,5,3,5,2,1,65,2,21.317912,-157.804528,16:05.2
10155297,6503685,Private room,,5,2,5,2,1,48,2,21.297398,-157.793351,15:58.2
